prod_id,qty_order,revenue,price,date_order,day_week,month,C1,C2,C3,C5,C6,qty_lag_1,Y_pred,Y_test
P1,16.0,22104.2,1381.5125,2015-05-30,2.0,3.0,1448.9,,,1499.0,1499.0,34.0,15.143702159,16.0
P1,49.0,67991.4,1387.57959184,2015-06-02,5.0,4.0,1444.9,,,1424.05,,40.0,15.2102076967,49.0
P1,16.0,23626.44,1476.6525,2015-06-08,1.0,4.0,1349.1,1349.1,1349.1,,,22.0,16.1865966846,16.0
P1,9.0,13282.17,1475.79666667,2015-06-12,0.0,4.0,1349.1,1349.1,1349.1,1424.05,,22.0,16.1772153109,9.0
P1,4.0,5996.0,1499.0,2015-06-28,3.0,4.0,1461.9,,,1424.05,,8.0,16.4315628967,4.0
P1,11.0,16280.17,1480.01545455,2015-06-29,1.0,4.0,1259.1,1461.9,,1424.05,,4.0,16.2234603265,11.0
P1,11.0,16321.34,1483.75818182,2015-07-09,4.0,5.0,1429.9,1429.9,,1424.05,,8.0,16.2644869166,11.0
P1,25.0,37250.15,1490.006,2015-07-21,5.0,5.0,1322.12,1295.68,1499.0,1424.05,,20.0,16.3329735193,25.0
P1,14.0,20986.0,1499.0,2015-07-22,6.0,5.0,1349.1,1322.12,1499.0,1424.05,,25.0,16.4315628967,14.0
P1,20.0,29980.0,1499.0,2015-07-24,0.0,5.0,1349.1,1322.12,1499.0,1424.05,,18.0,16.4315628967,20.0
P1,15.0,22476.17,1498.41133333,2015-07-27,1.0,5.0,1322.12,1425.9,1499.0,1424.05,,9.0,16.4251101192,15.0
P1,19.0,28481.0,1499.0,2015-08-01,2.0,6.0,1349.1,1349.1,1499.0,1424.05,,15.0,16.4315628967,19.0
P1,31.0,46319.1,1494.16451613,2015-08-05,6.0,6.0,1349.1,1349.1,1499.0,1424.05,,32.0,16.3785578551,31.0
P1,25.0,37325.1,1493.004,2015-08-12,6.0,6.0,1424.9,1424.9,,1424.05,,16.0,16.3658366451,25.0
P1,14.0,20986.0,1499.0,2015-08-14,0.0,6.0,1319.12,1319.12,1319.12,1424.05,,10.0,16.4315628967,14.0
P1,2.0,2998.0,1499.0,2015-08-17,1.0,6.0,1424.9,1424.9,,1424.05,,4.0,16.4315628967,2.0
P1,2.0,2998.0,1499.0,2015-08-21,0.0,6.0,1499.0,1499.0,,1424.05,,6.0,16.4315628967,2.0
P1,5.0,6895.4,1379.08,2015-08-22,2.0,6.0,1319.12,1319.12,1319.12,1424.05,,2.0,15.1170378649,5.0
P1,11.0,16189.2,1471.74545455,2015-09-05,2.0,7.0,1499.0,1499.0,,1424.05,1599.9,17.0,16.1328072076,11.0
P1,24.0,35826.1,1492.75416667,2015-09-10,4.0,7.0,1499.0,1499.0,,1424.05,1599.9,41.0,16.3630980513,24.0
P1,24.0,35976.0,1499.0,2015-09-15,5.0,7.0,1499.0,,,1424.05,1829.9,14.0,16.4315628967,24.0
P1,13.0,19487.0,1499.0,2015-09-17,4.0,7.0,1319.12,1319.12,1319.12,1424.05,,15.0,16.4315628967,13.0
P1,2.0,2998.0,1499.0,2015-09-20,3.0,7.0,1319.12,1319.12,1319.12,1424.05,,17.0,16.4315628967,2.0
P1,8.0,11692.2,1461.525,2015-09-26,2.0,7.0,,1319.12,1319.12,1424.05,,9.0,16.0207738242,8.0
P1,25.0,37100.25,1484.01,2015-10-06,5.0,8.0,1319.12,1499.0,1319.12,1349.1,,26.0,16.2672472677,25.0
P1,9.0,13341.1,1482.34444444,2015-10-10,2.0,8.0,1319.12,1499.0,1319.12,1349.1,,11.0,16.2489899756,9.0
P1,9.0,13491.0,1499.0,2015-10-12,1.0,8.0,1319.12,1499.0,1319.12,1349.1,,7.0,16.4315628967,9.0
